date,open,close,high,low,volume
2001-08-27,-91.359,-91.174,-90.778,-91.654,406318.0
2001-08-28,-91.274,-90.941,-90.916,-91.341,129647.79
2001-08-29,-90.92,-91.027,-90.916,-91.076,53252.75
2001-08-30,-91.044,-90.899,-90.826,-91.094,48013.06
2001-08-31,-90.89,-90.915,-90.806,-90.952,23231.48
2001-09-03,-90.881,-90.918,-90.815,-90.943,22112.09
2001-09-04,-90.915,-90.835,-90.724,-90.938,37006.77
2001-09-05,-90.808,-90.838,-90.753,-90.879,26066.95
2001-09-06,-90.854,-90.97,-90.833,-91.003,28997.03
2001-09-07,-91.005,-91.151,-90.925,-91.156,31552.25
2001-09-10,-91.201,-90.97,-90.943,-91.27,18878.89
2001-09-11,-90.952,-91.043,-90.925,-91.058,11390.81
2001-09-12,-91.213,-91.098,-91.058,-91.218,25045.19
2001-09-13,-91.092,-91.114,-91.041,-91.147,10986.68
2001-09-14,-91.092,-91.041,-91.005,-91.13,7672.83
2001-09-17,-91.08,-91.122,-91.043,-91.183,8983.97
2001-09-18,-91.115,-91.05,-90.996,-91.121,10773.26
2001-09-19,-91.041,-90.931,-90.931,-91.083,8650.53
2001-09-20,-90.934,-90.986,-90.907,-91.005,11173.35
2001-09-21,-91.044,-91.083,-90.987,-91.094,7879.72
2001-09-24,-91.083,-91.085,-91.025,-91.094,4068.6
2001-09-25,-91.044,-91.053,-90.998,-91.085,3488.45
2001-09-26,-91.074,-91.08,-91.009,-91.094,4956.26
2001-09-27,-91.08,-90.97,-90.92,-91.094,8778.04
2001-09-28,-90.934,-90.9,-90.881,-91.005,17088.47
2001-10-08,-90.916,-90.991,-90.884,-91.05,6552.17
2001-10-09,-90.987,-90.863,-90.828,-90.987,9558.52
2001-10-10,-90.863,-91.076,-90.84,-91.089,17548.69
2001-10-11,-91.092,-91.138,-91.005,-91.156,12306.84
2001-10-12,-91.112,-91.094,-90.979,-91.441,20010.7
2001-10-15,-91.112,-91.218,-91.094,-91.289,9755.31
2001-10-16,-91.249,-91.307,-91.13,-91.316,8319.91
2001-10-17,-91.309,-91.414,-91.305,-91.467,12507.68
2001-10-18,-91.414,-91.442,-91.332,-91.465,4983.46
2001-10-19,-91.449,-91.538,-91.423,-91.625,15687.54
2001-10-22,-91.574,-91.664,-91.503,-91.68,9760.65
2001-10-23,-91.094,-91.082,-91.082,-91.27,40598.24
2001-10-24,-90.955,-91.119,-90.952,-91.252,40682.39
2001-10-25,-91.147,-91.293,-91.13,-91.297,16036.86
2001-10-26,-91.325,-91.272,-91.254,-91.375,9002.2
2001-10-29,-91.293,-91.218,-91.16,-91.293,4587.86
2001-10-30,-91.227,-91.272,-91.185,-91.286,3484.17
2001-10-31,-91.272,-91.263,-91.256,-91.307,4762.47
